"Item Code (CPC)","Item","Year","total_exports"
1651,"Pepper (Piper spp.), raw",1993,190994
1651,"Pepper (Piper spp.), raw",1994,198143.85
1651,"Pepper (Piper spp.), raw",1995,206836.56
1651,"Pepper (Piper spp.), raw",1996,216787.61
1651,"Pepper (Piper spp.), raw",1997,216081.87
1651,"Pepper (Piper spp.), raw",1998,202693.3
1651,"Pepper (Piper spp.), raw",1999,213894.38
1651,"Pepper (Piper spp.), raw",2000,219051.85
1651,"Pepper (Piper spp.), raw",2001,212574.7
1651,"Pepper (Piper spp.), raw",2002,246403
1651,"Pepper (Piper spp.), raw",2003,218534
1651,"Pepper (Piper spp.), raw",2004,191262
1651,"Pepper (Piper spp.), raw",2005,191087
1651,"Pepper (Piper spp.), raw",2006,218689
1651,"Pepper (Piper spp.), raw",2007,226983
1651,"Pepper (Piper spp.), raw",2008,232388
1651,"Pepper (Piper spp.), raw",2009,203118
1651,"Pepper (Piper spp.), raw",2010,226162
1651,"Pepper (Piper spp.), raw",2011,206694
1651,"Pepper (Piper spp.), raw",2012,350439
1651,"Pepper (Piper spp.), raw",2013,384621
1651,"Pepper (Piper spp.), raw",2014,403969.78
1651,"Pepper (Piper spp.), raw",2015,421057.65
1651,"Pepper (Piper spp.), raw",2016,419092.7
1651,"Pepper (Piper spp.), raw",2017,484368.56
1651,"Pepper (Piper spp.), raw",2018,466633.3
1651,"Pepper (Piper spp.), raw",2019,561287.76
1651,"Pepper (Piper spp.), raw",2020,554872.35
1651,"Pepper (Piper spp.), raw",2021,553636.25
1651,"Pepper (Piper spp.), raw",2022,472691.81
1651,"Pepper (Piper spp.), raw",2023,418879.99
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1993,178995
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1994,180472.21
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1995,198287.92
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1996,184801.9
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1997,201834.15
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1998,227246.76
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1999,226065.65
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2000,236787.09
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2001,287997
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2002,334940
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2003,362061
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2004,408931
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2005,411714
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2006,455105
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2007,500315
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2008,506663
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2009,529621
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2010,532659
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2011,534892
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2012,647969
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2013,574511
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2014,633323.32
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2015,649900.21
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2016,710148.57
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2017,886626.59
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2018,867498.9
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2019,960967.06
1652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2020,1038210.69
